epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,3938.8,0.86724,0.34373,1.13784,0.99282,0.99507,0.99424,0.74871,1.04383,0.32925,1.36957,0.002971,0.002971,0.002971
144,3966.18,0.86559,0.34242,1.13836,0.99518,0.9928,0.99394,0.74633,1.04822,0.33139,1.37701,0.0029215,0.0029215,0.0029215
145,3993.58,0.87056,0.3426,1.14121,0.99699,0.99284,0.99443,0.74441,1.05489,0.33496,1.37958,0.002872,0.002872,0.002872
146,4020.96,0.86469,0.34424,1.13674,0.99374,0.994,0.99433,0.74544,1.05299,0.33468,1.38359,0.0028225,0.0028225,0.0028225
147,4048.27,0.8661,0.34464,1.14534,0.9952,0.99492,0.99431,0.74676,1.05184,0.33181,1.38294,0.002773,0.002773,0.002773
148,4075.66,0.8671,0.34483,1.13831,0.99639,0.99358,0.99425,0.74481,1.0497,0.33249,1.3818,0.0027235,0.0027235,0.0027235
149,4103.19,0.85503,0.33905,1.13753,0.99581,0.9968,0.99431,0.74417,1.04333,0.32987,1.3766,0.002674,0.002674,0.002674
150,4130.57,0.86048,0.34018,1.13766,0.99626,0.9964,0.99444,0.74373,1.04821,0.33174,1.38216,0.0026245,0.0026245,0.0026245
151,4157.98,0.85586,0.33978,1.13731,0.99533,0.9964,0.99442,0.74772,1.05041,0.3325,1.3781,0.002575,0.002575,0.002575
152,4185.58,0.85513,0.33836,1.13989,0.9964,0.99514,0.99442,0.74088,1.05052,0.3322,1.37973,0.0025255,0.0025255,0.0025255
153,4213.07,0.8599,0.34076,1.14109,0.99537,0.9946,0.99427,0.74111,1.05476,0.33329,1.38948,0.002476,0.002476,0.002476
154,4240.44,0.85163,0.33626,1.13556,0.9958,0.99561,0.99443,0.74437,1.04824,0.33018,1.38472,0.0024265,0.0024265,0.0024265
155,4766.01,0.85183,0.33655,1.13184,0.9952,0.9952,0.99446,0.74337,1.05071,0.33082,1.38756,0.002377,0.002377,0.002377
